Country,Year,Crop,Yield,Pesticide_Usage,Avg_temperature,Average_rainfall_mm_per_year,climate_factor,yield_lag,rolling_avg_yield,pesticide_effectiveness
Albania,1991,Maize,29068,121.0,15.36,1485.0,22809.6,36613.0,32840.5,238.2622950819672
Albania,1992,Maize,24876,121.0,16.06,1485.0,23849.1,29068.0,30185.666666666668,203.9016393442623
Albania,1993,Maize,24185,121.0,16.05,1485.0,23834.25,24876.0,28685.5,198.2377049180328
Albania,1994,Maize,25848,201.0,16.96,1485.0,25185.600000000002,24185.0,28118.0,127.96039603960396
Albania,1995,Maize,31300,251.0,15.67,1485.0,23269.95,25848.0,27055.4,124.2063492063492
Albania,1996,Maize,32604,313.96,15.64,1485.0,23225.4,31300.0,27762.6,103.51790703581408
Albania,1997,Maize,31862,376.93,15.9,1485.0,23611.5,32604.0,29159.8,84.30661762760299
Albania,1998,Maize,33416,439.89,16.27,1485.0,24160.95,31862.0,31006.0,75.79214770124068
Albania,1999,Maize,37455,502.86,16.57,1485.0,24606.45,33416.0,33327.4,74.336125114119
Albania,2000,Maize,38811,565.82,16.67,1485.0,24754.95,37455.0,34829.6,68.47147242510849
Albania,2001,Maize,38135,628.79,16.59,1485.0,24636.15,38811.0,35935.8,60.55193000841551
Albania,2002,Maize,39460,691.75,16.47,1485.0,24457.949999999997,38135.0,37455.4,56.96138578130639
Albania,2004,Maize,46197,817.68,16.16,1485.0,23997.6,39460.0,40011.6,56.42864122734158
Albania,2005,Maize,45442,880.64,15.67,1485.0,23269.95,46197.0,41609.0,51.54257973776144
Albania,2006,Maize,50111,943.61,15.92,1485.0,23641.2,45442.0,43869.0,53.049406633425434
Albania,2007,Maize,46732,1006.57,16.67,1485.0,24754.95,50111.0,45588.4,46.380896612642296
Albania,2008,Maize,50000,1069.54,16.71,1485.0,24814.350000000002,46732.0,47696.4,46.7054010125731
Albania,2009,Maize,55693,1132.5,16.73,1485.0,24844.05,50000.0,49595.6,49.13365681517424
Albania,2010,Maize,66790,1311.17,16.52,1485.0,24532.2,55693.0,53865.2,50.90041686671696
Albania,2011,Maize,59869,1302.63,16.45,1485.0,24428.25,66790.0,55816.8,45.924840637297386
Albania,2012,Maize,67290,766.25,16.7,1485.0,24799.5,59869.0,59928.4,87.702834799609
Albania,2013,Maize,69533,982.32,17.41,1485.0,25853.85,67290.0,63835.0,70.71248423707439
Albania,1990,Potatoes,66667,121.0,16.37,1485.0,24309.45,69533.0,66029.8,546.4508196721312
Albania,1991,Potatoes,77818,121.0,15.36,1485.0,22809.6,66667.0,68235.4,637.8524590163935
Albania,1992,Potatoes,82920,121.0,16.06,1485.0,23849.1,77818.0,72845.6,679.672131147541
Albania,1993,Potatoes,98446,121.0,16.05,1485.0,23834.25,82920.0,79076.8,806.9344262295082
Albania,1994,Potatoes,81404,201.0,16.96,1485.0,25185.600000000002,98446.0,81451.0,402.990099009901
Albania,1995,Potatoes,111323,251.0,15.67,1485.0,23269.95,81404.0,90382.2,441.7579365079365
Albania,1996,Potatoes,106138,313.96,15.64,1485.0,23225.4,111323.0,96046.2,336.988823977648
Albania,1997,Potatoes,109874,376.93,15.9,1485.0,23611.5,106138.0,101437.0,290.7257957822877
Albania,1998,Potatoes,127212,439.89,16.27,1485.0,24160.95,109874.0,107190.2,288.5345551044478
Albania,1999,Potatoes,142018,502.86,16.57,1485.0,24606.45,127212.0,119313.0,281.860040487437
Albania,2000,Potatoes,141228,565.82,16.67,1485.0,24754.95,142018.0,125294.0,249.15846300412827
Albania,2001,Potatoes,148818,628.79,16.59,1485.0,24636.15,141228.0,133830.0,236.29781355689994
Albania,2002,Potatoes,153868,691.75,16.47,1485.0,24457.949999999997,148818.0,142628.8,222.1118729700469
Albania,2004,Potatoes,149346,817.68,16.16,1485.0,23997.6,153868.0,147055.6,182.42292470806666
Albania,2005,Potatoes,167061,880.64,15.67,1485.0,23269.95,149346.0,152064.2,189.48890703688582
Albania,2006,Potatoes,170745,943.61,15.92,1485.0,23641.2,167061.0,157967.6,180.75713786642106
Albania,2007,Potatoes,188902,1006.57,16.67,1485.0,24754.95,170745.0,165984.4,187.48275554055797
Albania,2008,Potatoes,193878,1069.54,16.71,1485.0,24814.350000000002,188902.0,173986.4,181.10299475031294
Albania,2009,Potatoes,219780,1132.5,16.73,1485.0,24844.05,193878.0,188073.2,193.89501543890606
Albania,2010,Potatoes,231111,1311.17,16.52,1485.0,24532.2,219780.0,200883.2,176.12885525503555
Albania,2011,Potatoes,242211,1302.63,16.45,1485.0,24428.25,231111.0,215176.4,185.79735047521152
Albania,2012,Potatoes,250538,766.25,16.7,1485.0,24799.5,242211.0,227503.6,326.54024112088626
Albania,2013,Potatoes,260110,982.32,17.41,1485.0,25853.85,250538.0,240750.0,264.5222308099093
Albania,1990,"Rice, paddy",23333,121.0,16.37,1485.0,24309.45,260110.0,201460.6,191.25409836065575
Albania,1991,"Rice, paddy",28538,121.0,15.36,1485.0,22809.6,23333.0,160946.0,233.91803278688525
Albania,1992,"Rice, paddy",40000,121.0,16.06,1485.0,23849.1,28538.0,120503.8,327.8688524590164
Albania,1993,"Rice, paddy",41786,121.0,16.05,1485.0,23834.25,40000.0,78753.4,342.5081967213115
Albania,1990,Sorghum,12500,121.0,16.37,1485.0,24309.45,41786.0,29231.4,102.45901639344262
Albania,1991,Sorghum,6667,121.0,15.36,1485.0,22809.6,12500.0,25898.2,54.64754098360656
Albania,1992,Sorghum,3747,121.0,16.06,1485.0,23849.1,6667.0,20940.0,30.71311475409836
Albania,1990,Soybeans,7000,121.0,16.37,1485.0,24309.45,3747.0,14340.0,57.377049180327866
Albania,1991,Soybeans,6066,121.0,15.36,1485.0,22809.6,7000.0,7196.0,49.721311475409834
Albania,1992,Soybeans,4507,121.0,16.06,1485.0,23849.1,6066.0,5597.4,36.942622950819676
Albania,1993,Soybeans,7998,121.0,16.05,1485.0,23834.25,4507.0,5863.6,65.55737704918033
Albania,1994,Soybeans,7927,201.0,16.96,1485.0,25185.600000000002,7998.0,6699.6,39.242574257425744
Albania,1995,Soybeans,11791,251.0,15.67,1485.0,23269.95,7927.0,7657.8,46.78968253968254
