Country,Year,Crop,Yield,Pesticide_Usage,Avg_temperature,Average_rainfall_mm_per_year,climate_factor,yield_lag,rolling_avg_yield,pesticide_effectiveness
Australia,1991,Maize,39938,17866.0,16.606666666666666,534.0,8867.96,41821.0,40879.5,2.235294117647059
Australia,1992,Maize,51721,22234.0,15.905000000000001,534.0,8493.27,39938.0,44493.333333333336,2.3261074881942885
Australia,1993,Maize,44261,23899.0,16.333333333333332,534.0,8722.0,51721.0,44435.25,1.8519246861924685
Australia,1994,Maize,46620,21057.0,16.278333333333332,534.0,8692.63,44261.0,44872.2,2.213885459207902
Australia,1995,Maize,48263,25598.0,16.103333333333335,534.0,8599.18,46620.0,46160.6,1.8853470838704638
Australia,1996,Maize,57689,31185.0,16.116666666666667,534.0,8606.300000000001,48263.0,49710.8,1.8498364650804848
Australia,1997,Maize,59403,34091.0,16.525000000000002,534.0,8824.35,57689.0,51247.2,1.7424322421682505
Australia,1998,Maize,47544,37215.0,16.653333333333332,534.0,8892.88,59403.0,51903.8,1.2775150472914876
Australia,1999,Maize,51212,34200.0,16.608333333333334,534.0,8868.85,47544.0,52822.2,1.4973831174527061
Australia,2000,Maize,49360,33475.0,16.669999999999998,534.0,8901.779999999999,51212.0,53041.6,1.47448918628271
Australia,2001,Maize,46471,32710.0,16.591666666666665,534.0,8859.949999999999,49360.0,50798.0,1.4206536027635963
Australia,2002,Maize,54929,26651.0,16.676666666666666,534.0,8905.34,46471.0,49903.2,2.060971034068738
Australia,2004,Maize,56326,36276.0,16.648333333333333,534.0,8890.210000000001,54929.0,51659.6,1.5526642225101304
Australia,2005,Maize,57983,34310.0,16.798333333333336,534.0,8970.310000000001,56326.0,53013.8,1.6899245140042551
Australia,2006,Maize,53856,35900.0,16.69333333333333,534.0,8914.24,57983.0,53913.0,1.5001253446979192
Australia,2007,Maize,49103,32446.25,17.08,534.0,9120.72,53856.0,54439.4,1.5133177696106759
Australia,2008,Maize,56912,42935.38,16.45,534.0,8784.3,49103.0,54836.0,1.325496001293076
Australia,2009,Maize,58171,38065.68,17.125,534.0,9144.75,56912.0,55205.0,1.5281343158899068
Australia,2010,Maize,55593,42169.39,16.79,534.0,8965.859999999999,58171.0,54727.0,1.318294661254022
Australia,2011,Maize,57390,47632.99,16.805,534.0,8973.869999999999,55593.0,55433.8,1.2048119420607009
Australia,2012,Maize,64654,48687.88,16.666666666666668,534.0,8900.0,57390.0,58544.0,1.3279007444821076
Australia,2013,Maize,64441,45177.18,17.088333333333335,534.0,9125.17,64654.0,60049.8,1.4263744134889895
Australia,1990,Potatoes,289832,17866.0,16.441666666666666,534.0,8779.85,64441.0,106382.0,16.22163765601388
Australia,1991,Potatoes,285359,17866.0,16.606666666666666,534.0,8867.96,289832.0,152335.2,15.971287849107293
Australia,1992,Potatoes,289220,22234.0,15.905000000000001,534.0,8493.27,285359.0,198701.2,13.00742073307848
Australia,1993,Potatoes,290981,23899.0,16.333333333333332,534.0,8722.0,289220.0,243966.6,12.174937238493724
Australia,1994,Potatoes,294270,21057.0,16.278333333333332,534.0,8692.63,290981.0,289932.4,13.974261563301358
Australia,1995,Potatoes,298183,25598.0,16.103333333333335,534.0,8599.18,294270.0,291602.6,11.648228446423689
Australia,1996,Potatoes,312853,31185.0,16.116666666666667,534.0,8606.300000000001,298183.0,297101.4,10.031841210799717
