family_name,learn more
Carettochelyidae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Carettochelyidae
Cheloniidae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Cheloniidae
Chelydridae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Chelydridae
Dermatemydidae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Dermatemydidae
Dermochelyidae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Dermochelyidae
Emydidae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Emydidae
Geoemydidae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Geoemydidae
Kinosternidae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Kinosternidae
Platysternidae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Platysternidae
Testudinidae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Testudinidae
Trionychidae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Trionychidae
Chelidae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Chelidae
Pelomedusidae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Pelomedusidae
Podocnemididae,https://www.scrapethissite.com/pages/frames/?frame=i&family=Podocnemididae
